ID,Gender,Race,Age_at_Release,Residence_PUMA,Supervision_Risk_Score_First,Supervision_Level_First,Education_Level,Dependents,Prison_Years,Prior_Arrest_Episodes_Felony,Prior_Arrest_Episodes_Misd,Prior_Arrest_Episodes_Violent,Prior_Arrest_Episodes_Property,Prior_Arrest_Episodes_Drug,Prior_Arrest_Episodes_PPViolationCharges,Prior_Arrest_Episodes_DVCharges,Prior_Arrest_Episodes_GunCharges,Prior_Conviction_Episodes_Felony,Prior_Conviction_Episodes_Misd,Prior_Conviction_Episodes_Viol,Prior_Conviction_Episodes_Prop,Prior_Conviction_Episodes_Drug,Prior_Conviction_Episodes_PPViolationCharges,Prior_Conviction_Episodes_DomesticViolenceCharges,Prior_Conviction_Episodes_GunCharges,Prior_Revocations_Parole,Prior_Revocations_Probation,Condition_MH_SA,Condition_Cog_Ed,Condition_Other,Violations_ElectronicMonitoring,Violations_Instruction,Violations_FailToReport,Violations_MoveWithoutPermission,Delinquency_Reports,Program_Attendances,Program_UnexcusedAbsences,Residence_Changes,Percent_Days_Employed,Jobs_Per_Year,Employment_Exempt,Recidivism_Within_3years
1,1,1,45,16,3,0,3,3,3.5,6,6,1,3,3,4,0,0,3,3,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,2,0.488562092,0.447610294,0,0
2,1,1,35,16,6,1,1,1,3.5,7,6,3,0,3,5,1,0,3,4,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,4,0,0,2,0.425233645,2,0,1
3,1,1,55,24,7,2,3,3,1.5,6,6,3,2,2,5,1,0,3,2,1,1,2,0,1,0,0,0,1,1,0,0,1,0,1,4,6,0,0,0,0,0,1
4,1,0,40,16,7,2,1,1,1.5,8,6,0,3,3,3,0,0,3,4,0,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,6,0,3,1,0.718996063,0,0
5,1,0,35,16,4,1,3,3,1.5,4,4,3,2,1,3,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,7,0,0,0.203562341,0.929389313,0,1
6,1,0,40,17,5,0,0,0,3.5,4,0,1,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0.674252002,0.30783818,0,0
7,1,1,55,18,2,0,2,2,0.5,10,6,1,5,1,5,0,1,3,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8,1,1,40,16,5,2,3,3,2.5,6,6,3,1,2,5,0,0,1,4,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.469446441,0.525161754,0,0
9,0,1,45,5,7,2,0,0,0.5,10,4,2,5,3,3,0,0,2,4,0,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
10,1,1,45,16,5,0,3,3,3.5,10,6,3,5,2,5,1,1,3,4,1,3,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.35971223,1,0,1
11,1,0,45,5,3,1,1,1,1.5,3,6,2,1,1,3,1,0,0,3,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,9,2,2,1,3.413551402,1,1
12,1,1,35,16,5,1,3,3,1.5,10,1,1,1,2,3,0,0,3,1,0,0,2,0,0,0,0,1,1,1,1,0,1,0,0,4,10,0,0,0,0,1,1
13,1,0,55,18,3,0,1,1,3.5,8,4,0,5,2,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.635217391,0,0
14,1,1,35,3,7,0,0,0,1.5,10,3,1,1,5,5,0,0,0,1,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,1,1,1,0,1
15,1,0,35,5,7,0,1,1,2.5,9,3,2,2,4,4,0,1,3,2,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,6,0,1,0,0,1,0
16,1,1,35,3,4,0,3,3,3.5,4,6,0,0,3,4,0,1,2,4,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0.338926174,0.61283557,0,0
17,1,1,40,16,6,2,3,3,1.5,10,5,2,3,3,4,1,0,3,4,1,1,2,1,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,0.545851528,2,0,1
